name,post_code,address1,address2,tel,jsog_code,senkoishido,fujinkashuyo,shusanki,ivf,hai_ranshi_toketsu,kenbijusei,social_ranshitoketsu,teikyoseishi_aih,pgt,jis_art,japco,city_id,prefecture_id,
NTT東日本札幌病院,600061,南1条西15,,011-623-7000,10024,1,1,1,0,0,0,0,0,0,0,0,2,1,
札幌医科大学,608556,南1条西17,,011-611-2111,10025,1,1,1,1,1,1,7,0,0,0,1,2,1,
北海道大学,600808,5,,011-716-2111,10027,1,1,1,1,1,1,0,0,0,0,0,3,1,
KKR札幌医療センター,620931,平岸1条6-3-40,,011-822-1811,10028,1,1,0,1,1,1,0,0,0,0,0,6,1,
美加レディースクリニック,620933,平岸3条13-5-21,南平岸ビル1～3階,011-833-7773,10029,0,0,0,1,1,1,0,0,0,0,1,6,1,
北海道病院,628618,中の島一条8-3-18,,011-831-5151,10030,1,0,1,0,0,0,0,0,0,0,0,6,1,
札幌東豊病院,650017,北17条東15-3-1,,011-704-3911,10033,0,0,0,1,1,1,0,0,0,0,0,4,1,
天使病院,658611,北12条東3-1-1,,011-711-0101,10034,1,1,1,0,0,0,0,0,0,0,0,4,1,
森産科婦人科病院,700037,7条通7-左2,,0166-22-6125,10035,0,0,0,1,1,1,0,0,0,0,0,14,1,
旭川赤十字病院,708530,曙1条1-1-1,,0166-22-8111,10036,0,0,1,0,0,0,0,0,0,0,0,14,1,
市立旭川病院,708610,金星町1-1-65,,0166-24-3181,10037,0,1,0,0,0,0,0,0,0,0,0,14,1,
旭川厚生病院,788211,1条通24-111,,0166-33-7171,10038,1,1,1,0,0,0,0,0,0,0,0,14,1,
みずうち産科婦人科,788234,豊岡4条3-2-5,,0166-31-6713,10039,0,0,0,1,1,1,0,0,0,0,0,14,1,
旭川医科大学,788510,緑が丘東2条1-1-1,,0166-65-2111,10040,1,1,1,1,1,1,0,0,0,0,0,14,1,
医療法人社団慶愛病院,800803,東3条南9-2,,0155-22-4188,10041,0,0,0,1,1,1,0,0,0,0,0,17,1,
帯広厚生病院,800024,西14条南10-1,,0155-65-0101,10042,1,1,1,0,0,0,0,0,0,0,0,17,1,
釧路赤十字病院,858512,新栄町21-14,,0154-22-7171,10043,1,1,1,0,0,0,0,0,0,0,0,16,1,
北見赤十字病院,908666,北6条東2,,0157-24-3115,10047,1,0,1,0,0,0,0,0,0,0,0,18,1,
名寄市立総合病院,968511,西7条南8-1,,0165-43-3101,10048,1,0,0,0,0,0,0,0,0,0,0,31,1,
帯広協会病院,800805,東5条南9-2,,0155-22-6600,10052,1,0,0,0,0,0,0,0,0,0,0,17,1,
産科・婦人科北見レディースクリニック,900020,大通り東2-11-1,,0157-31-0303,10055,0,0,0,1,1,1,0,0,0,0,0,18,1,
王子総合病院,538506,若草町3-4-8,,0144-32-8111,10059,1,1,0,0,0,0,0,0,0,0,0,23,1,
砂川市立病院,730196,西4条北3-1-1,,0125-54-2131,10069,1,0,0,0,0,0,0,0,0,0,0,36,1,
白石産科婦人科病院,30005,東札幌5条6-6-28,,011-862-7211,10072,0,0,0,1,1,0,0,0,0,0,0,5,1,
医療法人社団のぞみ会レディースクリニックぬまのはた,591304,北栄町2-27-7,,０１４４－５３−０３０３,10073,0,0,0,1,1,1,0,0,0,0,0,23,1,
おおこうち産科婦人科,600062,南2条西8-10,,011-233-4103,10074,0,0,0,1,1,1,0,0,0,0,0,2,1,
セントベビークリニック,600001,北1条西2-1,札幌時計台ビル2階,011-215-0880,10076,0,0,0,1,1,1,0,0,0,0,0,2,1,
中村記念愛成病院,900051,高栄東町4-20-1,,0157-24-8131,10077,0,0,0,1,1,1,0,0,0,0,0,18,1,
医療法人社団卵会とまこまいレディースクリニック,530802,弥生町2-12-5,,0144-73-5353,10078,0,0,0,1,1,1,0,0,0,0,0,23,1,
さっぽろARTクリニック,600807,北7条西4-1-2,,011-700-5880,10079,0,0,0,1,1,1,0,0,0,0,1,3,1,
カレスサッポロ時計台記念クリニック,600031,北1条東1-2-3,,011-251-2221,10080,0,0,0,1,1,1,4,0,0,0,0,2,1,
福住産科婦人科クリニック,620043,福住3条1-2-24,,011-836-1188,10081,0,0,0,1,1,0,0,0,0,0,0,6,1,
五輪橋マタニティクリニック,50039,南39条西11-1-30,,011-585-3110,10082,0,0,0,1,1,1,0,0,0,0,0,7,1,
円山レディースクリニック,600001,北1条西25-1-16,,011-614-0800,10083,0,0,0,1,1,1,0,0,0,0,0,2,1,
市立釧路総合病院,850822,春湖台1-12,,0154-41-6121,10084,1,1,1,0,0,0,0,0,0,0,0,16,1,
金山生殖医療クリニック,600001,北1条西4-1-1,三甲大通公園ビル2階,011-200-1122,10085,0,0,0,1,1,1,0,0,0,0,0,2,1,
北海道医療センター,630005,山の手5条7-1-1,,011-611-8111,10086,0,1,0,0,0,0,0,0,0,0,0,8,1,
中央メディカルクリニック,600042,大通西5-11,大五ビル１階,011-222-0120,10087,0,0,0,1,1,1,0,0,0,0,0,2,1,
さっぽろARTクリニックn24,10023,北23条西3-2-37,第２北進建鉄ビル２F,011-792-6691,10088,0,0,0,1,1,1,0,0,0,0,1,3,1,
エナ麻生ARTクリニック,10045,麻生町2-2-7,中川ビル 2階,011-792-8850,10089,0,0,0,1,1,1,0,0,0,0,0,3,1,
青森市民病院,300821,勝田1-14-20,,017-734-2171,20001,1,0,0,0,0,0,0,0,0,0,0,190,2,
エフ．クリニック,300843,浜田3-3-7,,017-729-4103,20003,0,0,0,1,1,1,0,0,0,0,0,190,2,
青森県立中央病院,308553,東造道2-1-1,,017-726-8111,20004,1,1,1,0,0,0,0,0,0,0,0,190,2,
八戸クリニック,310081,柏崎1-8-32,,0178-22-7725,20005,0,0,0,1,1,1,0,0,0,0,0,192,2,
八戸市立市民病院,318555,田向3-1-1,,0178-72-5111,20007,1,1,1,0,0,0,0,0,0,0,0,192,2,
下北医療センターむつ総合病院,358601,小川町1-2-8,,0175-22-2111,20008,1,1,0,0,0,0,0,0,0,0,0,197,2,
弘前病院,368545,大字富野町1,,0172-32-4311,20011,1,0,1,0,0,0,0,0,0,0,0,191,2,
弘前大学,368563,本町53,,0172-33-5111,20012,1,1,1,1,1,1,7,0,0,0,0,191,2,
健生病院,368511,扇町2-2-2,,0172-55-7717,20013,1,0,0,0,0,0,0,0,0,0,0,191,2,
八戸赤十字病院,391104,大字田面木字中明戸2,,0178-27-3111,20014,1,0,0,0,0,0,0,0,0,0,0,192,2,
レディスクリニック・セントセシリア,300944,筒井八ツ橋95-12,,017-738-0321,20016,0,0,0,1,1,1,0,0,0,0,0,190,2,
三沢市立三沢病院,０３３－００２２,大字三沢字堀口164-65,,０１７６−５３−２１６１,20017,0,1,0,0,0,0,0,0,0,0,0,196,2,
つがる総合病院,370074,字岩木町12-3,,0173-35-3111,20018,1,0,0,0,0,0,0,0,0,0,0,194,2,
婦人科さかもとともみクリニック,368087,早稲田3-20-6,,0172-29-5080,20019,0,0,0,1,1,1,0,0,0,0,0,191,2,
岩手県立中央病院,200066,上田1-4-1,,019-653-1151,30001,1,1,1,0,0,0,0,0,0,0,0,230,3,
さくらウイメンズクリニック,200871,中ノ橋通1-4-22,中ノ橋106ビル 4F,019-621-4141,30002,0,0,0,1,1,1,0,0,0,0,0,230,3,
岩手医科大学,283695,医大通2-1-1,,019-613-7111,30004,1,1,1,1,1,1,0,0,0,0,0,248,3,
岩手県立大船渡病院,228512,大船渡町字山馬越10-1,,0192-26-1111,30005,1,0,0,0,0,0,0,0,0,0,0,232,3,
盛岡赤十字病院,208560,三本柳6割1-1,,019-637-3111,30006,1,1,1,0,0,0,0,0,0,0,0,230,3,
岩手県立久慈病院,280014,旭町第10割1,,0194-53-6131,30007,0,0,1,0,0,0,0,0,0,0,0,235,3,
岩手県立二戸病院,286193,堀野字大川原毛38-2,,0195-23-2191,30010,1,1,1,0,0,0,0,0,0,0,0,240,3,
岩手県立宮古病院,270096,崎鍬ヶ崎第1割11-26,,0193-62-4011,30012,1,0,0,0,0,0,0,0,0,0,0,231,3,
岩手県立中部病院,248507,村崎野17割10,,0197-71-1511,30014,1,0,1,0,0,0,0,0,0,0,0,234,3,
東北公済病院,9800803,国分町2-3-11,,022-227-2211,40001,1,1,1,0,0,0,0,0,0,0,0,264,4,
仙台市立病院,9828502,あすと長町1-1-1,,022-308-7111,40003,1,1,1,0,0,0,0,0,0,0,0,267,4,
東北大学,9808574,星陵町1-1,,022-717-7000,40004,1,1,1,1,1,1,4,0,0,0,0,264,4,
宮城県立がんセンター,9811293,愛島塩手字野田山47-1,,022-384-3151,40008,0,1,0,0,0,0,0,0,0,0,0,273,4,
仙台赤十字病院,9828501,八木山本町2-43-3,,022-243-1111,40011,1,0,0,0,0,0,0,0,0,0,0,267,4,
仙台医療センター,9838520,宮城野2-11-12,,022-293-1111,40013,1,1,1,0,0,0,0,0,0,0,0,265,4,
坂総合病院,9858506,錦町16-5,,022-365-5175,40016,1,0,0,0,0,0,0,0,0,0,0,270,4,
京野アートクリニック,9800014,本町1-1-1,大樹生命仙台本町ビル3F,022-722-8841,40018,0,0,0,1,1,1,7,1,0,1,1,264,4,
スズキ記念病院,9892481,里の杜3-5-5,,0223-23-3111,40019,1,0,0,1,1,1,0,0,0,0,0,276,4,
大崎市民病院,9896183,古川穂波3-8-1,,0229-23-3311,40020,1,0,0,0,0,0,0,0,0,0,0,280,4,
石巻赤十字病院,9868522,蛇田字西道下71,,0225-21-7220,40022,1,1,1,0,0,0,0,0,0,0,0,269,4,
たんぽぽレディースクリニックあすと長町,9820003,郡山1-16-8,,022-738-7753,40023,0,0,0,1,1,1,0,0,0,0,0,267,4,
みやぎ県南中核病院,9891253,字西38-1,,0224-51-5500,40025,0,0,1,0,0,0,0,0,0,0,0,284,4,
宮城県立こども病院,9893126,落合4-3-17,,022-391-5111,40026,1,0,1,0,0,0,0,0,0,0,0,264,4,
仙台ARTクリニック,9830864,名掛丁206-13,,022-791-8851,40027,0,0,0,1,1,1,4,0,0,1,1,265,4,
仙台ソレイユ母子クリニック,9820014,大野田4-31-3,,022-248-5001,40028,0,0,0,1,1,1,0,0,0,0,0,267,4,
東北医科薬科大学病院,9838512,福室1-12-1,,022-259-1221,40029,0,1,0,1,1,1,0,0,0,0,0,265,4,
秋田赤十字病院,101495,上北手猿田字苗代沢222-1,,018-829-5000,50001,1,1,1,0,0,0,0,0,0,0,0,303,5,
市立秋田総合病院,100933,川元松丘町4-30,,018-823-4171,50002,1,1,1,0,0,0,0,0,0,0,0,303,5,
秋田大学,108543,広面字蓮沼44-2,,018-834-1111,50003,1,1,1,1,1,1,7,0,0,0,0,303,5,
中通総合病院,108577,南通みその町3-15,,018-833-1122,50004,1,0,0,0,0,0,0,0,0,0,0,303,5,
大曲厚生医療センター,140027,8-65,,0187-63-2111(,50006,1,0,0,0,0,0,0,0,0,0,0,312,5,
由利組合総合病院,158511,川口字家後38,,0184-27-1200,50007,1,0,0,0,0,0,0,0,0,0,0,310,5,
能代厚生医療センター,160014,落合字上前田地内,,0185-52-3111,50008,1,0,0,0,0,0,0,0,0,0,0,304,5,
大館市立総合病院,178550,豊町3-1,,0186-42-5370,50010,1,0,1,1,1,0,0,0,0,0,0,306,5,
平鹿総合病院,138610,前郷字八ツ口3-1,,0182-32-5121,50012,1,0,1,0,0,0,0,0,0,0,0,305,5,
秋田厚生医療センター,110948,飯島西袋1-1-1,,018-880-3000,50013,1,1,1,0,0,0,0,0,0,0,0,303,5,
池田産婦人科クリニック,120036,両神142-3,,0183-73-0100,50016,0,0,0,1,1,1,0,0,0,0,0,308,5,
大曲母子医院,140014,大曲福住町8-18,,0187-63-2288,50018,0,0,0,1,1,0,0,0,0,0,0,312,5,
清水産婦人科クリニック,100041,広面字糠塚116-1,,018-893-5655,50019,0,0,0,1,1,1,0,0,0,0,0,303,5,
山形県立中央病院,9902292,大字青柳1800,,023-685-2626,60002,1,1,1,0,0,0,0,0,0,0,0,328,6,
山形市立病院済生館,9908533,七日町1-3-26,,023-625-5555,60003,1,0,0,0,0,0,0,0,0,0,0,328,6,
山形済生病院,9908545,沖町79-1,,023-682-1111,60004,1,0,1,1,1,1,0,0,0,0,0,328,6,
山形大学,9909585,飯田西2-2-2,,023-633-1122,60005,1,1,1,1,1,1,0,0,0,0,0,328,6,
すこやかレディースクリニック,9970801,東原町19-27,,0235-22-8418,60006,0,0,0,1,1,1,0,0,0,0,0,330,6,
鶴岡市立荘内病院,9978515,泉町4-20,,0235-26-5111,60007,1,0,0,0,0,0,0,0,0,0,0,330,6,
日本海総合病院,９９８－８５０１,あきほ町30,,0234-26-2001,60008,1,1,0,0,0,0,0,0,0,0,0,331,6,
山形県立河北病院,999－3511,谷地字月山堂111,,0237-73-3131,60009,0,0,0,1,1,1,0,0,0,0,0,343,6,
米沢市立病院,9928502,相生町6-36,,0238-22-2450,60011,1,0,1,0,0,0,0,0,0,0,0,329,6,
ゆめクリニック,9920026,東3-9-3,,0238-26-1537,60015,0,0,0,1,1,1,4,0,0,0,0,329,6,
公立置賜総合病院,9920601,大字西大塚2000,,0238-46-5000,60016,1,0,0,0,0,0,0,0,0,0,0,356,6,
山形県立新庄病院,9960025,若葉町12-55,,0233-22-5525,60017,1,0,0,0,0,0,0,0,0,0,0,332,6,
いちかわクリニック,9600112,南矢野目字鼓田6-1,,024-554-0303,70001,0,0,0,1,1,1,0,0,0,0,0,363,7,
福島県立医科大学,9601295,光が丘1,,024-547-1111,70003,1,1,1,1,1,1,4,0,0,0,0,363,7,
福島赤十字病院,9608530,八島町7-7,,024-534-6101,70005,1,0,0,1,1,1,0,0,0,0,0,363,7,
大原綜合病院,9608611,上町6-1,,024-526-0300,70006,0,0,1,0,0,0,0,0,0,0,0,363,7,
乾マタニティクリニック,9638026,並木3-5-18,,024-925-0705,70007,0,0,0,1,1,1,0,0,0,0,0,365,7,
太田西ノ内病院,9638558,西ノ内2-5-20,,024-925-1188,70009,1,0,1,0,0,0,0,0,0,0,0,365,7,
寿泉堂綜合病院,9638585,駅前1-1-17,,024-932-6363,70010,1,0,0,0,0,0,0,0,0,0,0,365,7,
竹田綜合病院,9658585,山鹿町3-27,,0242-27-5511,70011,1,0,0,0,0,0,0,0,0,0,0,364,7,
会津中央病院,9658611,鶴賀町1-1,,0242-25-1515,70012,1,0,0,1,1,0,0,0,0,0,0,364,7,
いわき婦人科,9738403,内郷綴町大木下3-2,,0246-27-2885,70014,0,0,0,1,1,1,4,0,0,0,0,366,7,
いわき市医療センター,9738555,内郷御厩町久世原16,,0246-26-3151,70015,1,1,1,0,0,0,0,0,0,0,0,366,7,
アートクリニック,9608031,栄町6-1,エスタビル12F,024-523-1132,70017,0,0,0,1,1,1,0,0,0,0,0,363,7,
あみウィメンズクリニック,9650009,八角町4-21,,0242-37-1456,70018,0,0,0,1,1,1,0,0,0,0,0,364,7,
あべウイメンズクリニック,9638071,富久山町久保田伊賀河原6-1,,024-923-4188,70019,0,0,0,1,1,1,0,0,0,0,0,365,7,
ひさこファミリークリニック,9630216,中ノ目1-26-2,,024-952-4415,70020,0,0,0,1,1,1,0,0,0,0,0,365,7,
福島病院,9628507,芦田塚13,,0248-75-2131,70021,0,0,1,0,0,0,0,0,0,0,0,368,7,
白河厚生総合病院,9610005,豊地上弥次郎2-1,,0248-22-2211,70023,1,0,0,0,0,0,0,0,0,0,0,367,7,
坪井病院,9630197,安積町長久保1-10-13,,024(946)0808,70024,0,1,0,0,0,0,0,0,0,0,0,365,7,
土浦協同病院,3000028,おおつ野4-1-1,,029-830-3711,80001,1,1,1,0,0,0,0,0,0,0,0,424,8,
東京医科大学茨城医療センター,3000395,中央3-20-1,,029-887-1161,80002,1,1,0,0,0,0,0,0,0,0,0,460,8,
霞ヶ浦医療センター,3008585,下高津2-7-14,,029-822-5050,80003,1,1,1,0,0,0,0,0,0,0,0,424,8,
筑波学園病院,3050854,上横場2573-1,,029-836-1355,80006,1,1,0,1,1,1,2,0,0,0,0,437,8,
筑波大学,3058576,天久保2-1-1,,029-853-3900,80007,1,1,1,1,1,1,4,0,0,0,0,437,8,
根本産婦人科医院,3091736,八雲1-4-21,,0296-77-0431,80010,0,0,0,1,1,1,0,0,0,0,0,434,8,
茨城県立中央病院,3091793,鯉淵6528,,0296-77-1121,80012,1,1,0,0,0,0,0,0,0,0,0,434,8,
石渡産婦人科病院,3100041,上水戸1-4-21,,029-221-2553,80013,0,0,0,1,1,1,0,0,0,0,0,422,8,
植野産婦人科医院,3100063,五軒町2-3-7,,029-221-2513,80014,0,0,0,1,1,0,0,0,0,0,0,422,8,
水戸赤十字病院,3100011,三の丸3-12-48,,029-221-5177,80015,0,1,0,0,0,0,0,0,0,0,0,422,8,
小塙医院,311-3435,田木谷169-3,,0240-25-1222,80018,0,0,0,1,1,1,0,0,0,0,0,453,8,
水戸済生会総合病院,3114198,双葉台3-3-10,,029-254-5151,80019,1,0,0,0,0,0,0,0,0,0,0,422,8,
日立総合病院,3170077,城南町2-1-1,,0294-23-1111,80021,0,1,0,0,0,0,0,0,0,0,0,423,8,
JAとりで総合医療センター,3020022,本郷2-1-1,,0297-74-5551,80022,1,1,1,0,0,0,0,0,0,0,0,435,8,
総合守谷第一病院,3020102,松前台1-17,,0297-45-5111,80025,1,0,1,0,0,0,0,0,0,0,0,441,8,
遠藤産婦人科医院,3080005,中舘130-1,,0296-20-1000,80028,0,0,0,1,1,1,0,0,0,0,0,444,8,
筑波メディカルセンター病院,3058558,天久保1-3-1,,029-851-3511,80031,0,1,0,0,0,0,0,0,0,0,0,437,8,
福地レディースクリニック,3170071,2-17-4,,0294-27-7521,80032,0,0,0,1,1,1,0,0,0,0,0,423,8,
つくばARTクリニック,3050032,竹園1-6-1,つくば三井ビル4階,029-863-6111,80034,0,0,0,1,1,1,0,0,0,0,0,437,8,
いがらしクリニック,3010826,栄町4659-3,,0297-62-0936,80035,0,0,0,1,1,1,0,0,0,0,0,428,8,
栃木医療センター,3208580,中戸祭1-10-37,,028-622-5241,90001,0,1,0,0,0,0,0,0,0,0,0,466,9,
福泉医院,3210924,下栗1-1-1,,028-639-1122,90002,0,0,0,1,1,1,0,0,0,0,0,466,9,
ちかざわLadies'クリニック,3210935,城東1-2-5,,028-638-2380,90003,0,0,0,1,1,1,0,0,0,0,0,466,9,
獨協医科大学,3210293,大字北小林880,,0282-86-1111,90004,1,1,1,1,1,1,0,0,0,0,0,485,9,
済生会宇都宮病院,3210974,竹林町911-1,,028-626-5500,90005,1,1,1,1,1,1,0,0,0,0,0,466,9,
芳賀赤十字病院,3214308,中郷271,,0285-82-2195,90006,1,0,1,0,0,0,0,0,0,0,0,473,9,
那須赤十字病院,3240062,中田原1081-4,,0287-23-1122,90010,1,1,1,1,1,1,0,0,0,0,0,474,9,
足利赤十字病院,3260843,五十部町284-1,,0284-21-0121,90011,1,1,1,0,0,0,0,0,0,0,0,467,9,
佐野厚生総合病院,3278511,堀米町1728,,0283-22-5222,90012,1,1,1,0,0,0,0,0,0,0,0,469,9,
三秀会中央クリニック,3290431,薬師寺3154,,0285-40-1121,90014,0,0,0,1,1,1,4,0,0,0,0,479,9,
自治医科大学,3290498,薬師寺3311-1,,0285-44-2111,90015,1,1,1,1,1,1,4,0,0,0,0,479,9,
栃木県立がんセンター,3200834,陽南4-9-13,,０２８－６５８－５１５１,90016,1,1,0,0,0,0,0,0,0,0,0,466,9,
国際医療福祉大学病院,3292763,井口537-3,,0287-37-2221,90018,1,1,1,1,1,1,0,0,0,0,0,476,9,
かわつクリニック,3200867,大寛2-2-26,,028-639-1118,90019,0,0,0,1,1,1,0,0,0,0,0,466,9,
平尾産婦人科医院,3200857,鶴田3-1-4,,028-648-5222,90020,0,0,0,1,1,1,0,0,0,0,0,466,9,
城山公園すずきクリニック,3270845,久保町263,,0283-22-0195,90021,0,0,0,1,1,1,0,0,0,0,0,469,9,
産科婦人科館出張佐藤病院,3700836,若松町96,,027-322-2243,100001,1,0,0,0,0,0,0,0,0,0,0,492,10,
高崎総合医療センター,3700829,高松町36,,027-322-5901,100005,1,1,1,0,0,0,0,0,0,0,0,492,10,
横田マタニティーホスピタル,3710031,下小出町1-5-22,,027-219-4103,100007,0,0,0,1,1,1,4,0,0,0,1,491,10,
前橋赤十字病院,3710811,朝倉町389-1,,027 265 3333,100008,1,1,1,0,0,0,0,0,0,0,0,491,10,
群馬中央病院,3710025,紅雲町1-7-13,,027-221-8165,100009,1,1,1,1,1,1,4,0,0,0,0,491,10,
群馬大学,3718511,昭和町3-39-15,,027-220-7111,100012,1,1,1,1,1,1,0,0,0,0,0,491,10,
伊勢崎市民病院,3720817,連取本町12-1,,0270-25-5022,100013,1,0,0,0,0,0,0,0,0,0,0,494,10,
太田記念病院,3738585,大島町455-1,,0276-55-2200,100015,1,1,1,0,0,0,0,0,0,0,0,495,10,
公立藤岡総合病院,3758503,中栗須813-1,,0274-22-3311,100017,1,0,0,0,0,0,0,0,0,0,0,499,10,
桐生厚生総合病院,3760024,織姫町6-3,,0277-44-7171,100018,1,1,1,0,0,0,0,0,0,0,0,493,10,
利根中央病院,3780012,沼須町910-1,,0278-22-4321,100021,1,0,0,0,0,0,0,0,0,0,0,496,10,
群馬県立がんセンター,3738550,高林西町617-1,,0276-38-0771,100022,0,1,0,0,0,0,0,0,0,0,0,495,10,
セキールレディースクリニック,3700841,栄町17-23,,027-330-2200,100023,0,0,0,1,1,1,4,0,0,1,1,492,10,
上条女性クリニック,3701205,栗崎町534-1,,027-345-1221,100024,0,0,0,1,1,1,0,0,0,0,0,492,10,
神岡産婦人科医院,3710841,石倉町5-22-1,,027-253-4152,100025,0,0,0,1,1,1,0,0,0,0,0,491,10,
ときざわレディスクリニック,3730818,小舞木町256,,0276-60-2580,100026,0,0,0,1,1,1,0,0,0,0,0,495,10,
光病院,3750023,本郷1045,,0274-24-1234,100027,0,0,0,1,1,0,0,0,0,0,0,499,10,
高崎ARTクリニック,3700831,あら町136-1,,027-310-7701,100028,0,0,0,1,1,1,4,0,0,0,0,492,10,
群馬県立小児医療センター,3778577,北橘町下箱田779,,0279-52-3551,100029,1,0,1,0,0,0,0,0,0,0,0,498,10,
いまいウイメンズクリニック,3710012,東片貝町875,,027-221-1000,100030,0,0,0,1,1,1,0,0,0,0,0,491,10,
自治医科大学さいたま医療センター,3308503,天沼町1-847,,048-647-2111,110003,1,1,1,0,0,0,0,0,0,0,0,529,11,
埼玉県済生会川口総合病院,3328558,西川口5-11-5,,048-253-1551,110005,1,1,1,0,0,0,0,0,0,0,0,539,11,
埼玉協同病院,3330831,木曽呂1317,,048-296-4771,110006,1,0,0,0,0,0,0,0,0,0,0,539,11,
川口市立医療センター,3330833,西新井宿180,,048-287-2525,110007,1,1,1,0,0,0,0,0,0,0,0,539,11,
埼玉メディカルセンター,3300074,北浦和4-9-3,,048-832-4951,110008,0,1,0,1,1,1,0,0,0,0,0,533,11,
さいたま市立病院,3368522,大字三室2460,,048-873-4111,110009,1,1,1,0,0,0,0,0,0,0,0,535,11,
さいたま赤十字病院,3308553,新都心1-5,,048-852-1111,110010,1,1,1,0,0,0,0,0,0,0,0,531,11,
丸山記念総合病院,3398521,本町2-10-5,,048-757-3511,110011,1,0,0,1,1,1,0,0,0,0,0,536,11,
永井マザーズホスピタル,3410004,上彦名607-1,,048-959-1311,110013,0,0,0,1,1,1,0,0,0,0,1,567,11,
越谷市立病院,3438577,東越谷10-32,,048-965-2221,110014,1,1,1,0,0,0,0,0,0,0,0,554,11,
獨協医科大学　埼玉医療センター,3438555,南越谷2-1-50,,048-965-1111,110016,1,1,0,1,1,1,7,0,0,0,1,554,11,
中村レディスクリニック,3480046,中岩瀬612,,048-562-3505,110018,0,0,0,1,1,1,0,0,0,0,0,549,11,
埼玉医科大学（+国際医療センター）,3501298,山根1397-1,,042-984-4111,110020,1,1,1,1,1,1,0,0,0,0,0,572,11,
埼玉医科大学総合医療センター,3508550,鴨田1981,,049-228-3411,110022,1,1,1,1,1,1,7,0,0,0,1,537,11,
埼玉病院,3510102,諏訪2-1,,048-462-1101,110023,1,1,1,0,0,0,0,0,0,0,0,560,11,
吉田産科婦人科医院,3580054,野田640-5,,04-2932-8781,110024,0,0,0,1,1,1,0,0,0,0,0,557,11,
瀬戸病院,3591128,金山町8-6,,04-2922-0221,110025,1,0,0,1,1,1,0,0,0,0,0,542,11,
西埼玉中央病院,3591151,若狭2-1671,,04-2948-1111,110026,1,1,1,0,0,0,0,0,0,0,0,542,11,
防衛医科大学校,3598513,並木3-2,,04-2995-1211,110027,1,1,1,0,0,0,0,0,0,0,0,542,11,
熊谷総合病院,360856,中西4-5-1,,048-521-0065,110028,0,0,0,1,1,0,0,0,0,0,0,538,11,
藤間病院,3600031,末広2-137,,048-522-0600,110029,0,1,0,0,0,0,0,0,0,0,0,538,11,
埼玉県立がんセンター,3620806,大字小室780,,048-722-1111,110030,1,1,0,0,0,0,0,0,0,0,0,576,11,
深谷赤十字病院,3660052,上柴町西5-8-1,,048-571-1511,110032,1,1,0,0,0,0,0,0,0,0,0,551,11,
蕨市立病院,3350001,北町2-12-18,,048-432-2277,110034,1,0,0,0,0,0,0,0,0,0,0,555,11,
北里研究所メディカルセンター病院,3648501,荒井6-100,,048-593-1212,110035,1,0,0,0,0,0,0,0,0,0,0,564,11,
戸田中央産院,3350022,上戸田2-26-3,,048-444-1181,110036,1,0,0,0,0,0,0,0,0,0,0,556,11,
